LONG_NAME,BUSES,lat,long
Lemon FS University,"10, 22, 200",33.981072,-117.371928
University FS Lemon,"1, 15",33.98103,-117.372303
University @ Lemon Eb Ns,"1, 14, 15, 29, 49, 204, 215",33.980821,-117.372401
West University NS Lemon,"29, 49, 204",33.980768,-117.371874
Lemon FS 12th (Riverside County Bldg.),"10, 12, 13, 200",33.978122,-117.373865
Vine St Mobility Hub,"1, 15, 22, 29, 49, 200, 215",33.976818,-117.370891
University FS Park,"1, 14, 22",33.977323,-117.364851
University NS Park,"1, 10, 14, 22",33.977691,-117.365186
Orange NS Tenth,"10, 12, 13",33.97959,-117.374531
Lemon NS 13th,"10, 12, 13",33.975806,-117.375467
14th NS Lime,"10, 13",33.974322,-117.374139
Orange FS University,"10, 12, 13",33.981072,-117.3738606
University NS Market,"1, 13, 14, 15, 29, 49",33.982156,-117.374778
University Ave & Market St,"1, 12, 13, 14, 15, 29, 49, 204",33.982218,-117.375372
Market FS University,"12, 204",33.982696,-117.375457
Mission Inn FS Fairmount Blvd,49,33.984265,-117.376477
University FS Brockton,14,33.983761,-117.378682
Brockton FS University,14,33.98389,-117.379429
Market FS 11th,"1, 13, 15",33.97989,-117.377356
Market NS Tenth,"1, 13, 15",33.980767,-117.376987
Market NS Sixth,"12, 29",33.984807,-117.374306
Mission Inn FS Brockton 1,49,33.985283,-117.378667
Mission Inn FS Brockton 2,49,33.985154,-117.378743
Market NS Fourth,12,33.986577,-117.373116
Market NS Third,"12, 29",33.987056,-117.372557
Main FS First,12,33.988916,-117.369681
Orange at Salvation Army Apts.,12,33.989052,-117.368104
Magnolia & Elizabeth,"13, 20",33.959095,-117.393041
Brockton Opp. Gardena (DMV),20,33.95762,-117.396702
Brockton + Beatty,20,33.955951,-117.396722
Riverside Plaza,"14, 20",33.955253,-117.395507
Magnolia FS Beatty,"1, 13, 15",33.954927,-117.395677
Magnolia FS Sunnyside,1,33.954795,-117.395552
Magnolia NS Sunnyside,"13, 14, 15",33.954405,-117.395787
Central FS Magnolia,"10, 20",33.953443,-117.395628
Central FS De Anza 1,"10, 20",33.953621,-117.393774
Central FS De Anza 2,"10, 20",33.953482,-117.393122
Third Opp. 1825 Third Street/ RTA,10,33.982943,-117.351607
Chicago FS Third St. 1,13,33.982677,-117.348556
Third FS Chicago,10,33.982966,-117.348155
Chicago FS Third St. 2,13,33.983351,-117.348373
Chicago NS Spruce,13,33.989798,-117.348317
Spruce NS Atlanta,13,33.990355,-117.343002
Iowa NS Spruce,"14, 56",33.989895,-117.33975
Iowa FS Spruce,14,33.989535,-117.339926
Iowa NS Massachusetts,14,33.98697,-117.339946
Iowa FS Massachusetts,"14, 56",33.986966,-117.339761
Spruce FS Rustin,13,33.990276,-117.335702
Iowa FS Blaine,"14, 56",33.983278,-117.339766
Blaine NS Iowa,10,33.983071,-117.338804
Blaine FS Iowa,"1, 10",33.982956,-117.338654
Iowa FS Blaine (Stop N Go Store),14,33.981484,-117.339955
Magnolia FS Jefferson,1,33.937285,-117.416504
Magnolia 7675 at Ramona H.S.,1,33.939776,-117.412729
Magnolia FS Cortez,1,33.939797,-117.412116
Magnolia FS Madison 1,1,33.941371,-117.409809
Magnolia FS Madison 2,1,33.941482,-117.409141
Indiana NS Verde,14,33.933489,-117.407489
Indiana FS Winstrom,14,33.933628,-117.406981
Indiana NS Madison,14,33.934693,-117.405087
Indiana FS Madison,14,33.93501,-117.404792
Indiana Opp Home Depot,14,33.937287,-117.400794
Sycamore Cyn. FS Fair Isle,16,33.946565,-117.301923
Lochmoor NS Fair Isle,16,33.945109,-117.302265
Lochmoor FS Sycamore Canyon,16,33.945019,-117.300447
Corporate Centre Pl FS Campus Parkway,18,33.938901,-117.283588
Campus Pkwy + Day,18,33.937672,-117.279903
Day + Campus Parkway,"16, 18",33.937345,-117.279005
Day NS Campus Parkway,16,33.937087,-117.278665
Day FS Gateway,16,33.93517,-117.278657
Day + Gateway Dr,16,33.934588,-117.278971
Day FS Eucalyptus,16,33.931964,-117.27869
Eucalyptus + Day,16,33.931341,-117.277992
Eucalyptus FS Arbor Park Ln.,16,33.931665,-117.276047
Eucalyptus + Arbor Park Ln,16,33.932046,-117.274185
Box Springs Rd NS Douglasis,16,33.946637,-117.290749
Box Springs + Douglasis,16,33.946485,-117.289733
Box Springs + Clark,16,33.946511,-117.287114
Box Springs Rd NS Clark,16,33.946658,-117.286286
Indiana NS Jackson 1,14,33.918598,-117.433655
Indiana NS Jackson 2,14,33.918154,-117.434219
Indiana FS Donald,14,33.91729,-117.435953
Indiana FS Gibson,14,33.916318,-117.437461
Indiana Opp. Gibson,14,33.916213,-117.437862
Indiana FS Van Buren,14,33.914751,-117.440188
Van Buren NS Rudicill,"10, 27",33.912418,-117.440034
Van Buren FS Rudicill,"10, 27",33.912336,-117.440188
Van Buren NS Andrew,10,33.916764,-117.44336
Van Buren FS Primrose,"10, 27",33.916926,-117.443884
N. Campus FS Aberdeen,56,33.97582,-117.326143
UCR at Bannockburn Village,"1, 16, 204",33.977372,-117.331207
Campus FS University,16,33.975281,-117.332133
West Campus Dr at Lot #4,16,33.971835,-117.330231
West Campus Dr. FS Canyon Crest,16,33.971792,-117.32982
W. Campus Drive NS Canyon Crest,56,33.970565,-117.329028
S. Campus Drive FS Picnic Hill Dr.,56,33.969672,-117.325593
Canyon Crest FS Via Pueblo 1,16,33.957082,-117.329812
Canyon Crest FS Via Pueblo 2,16,33.95706,-117.329437
Central NS Canyon Crest,16,33.955074,-117.328625
Central + Canyon Crest,16,33.954849,-117.328503
San Vicente/Melrose,Cityline Local-East,34.081894,-118.383288
San Vicente / Santa Monica,"16, Cityline Commuter, Cityline Local-West",34.0844762,-118.3842493
Santa Monica / San Vicente,"4, 16, 105, Cityline Commuter, Cityline Local-East, The PickUp",34.0850394,-118.3838946
San Vicente / Santa Monica,"16, 105, Cityline Local-East, Cityline Local-West",34.08545,-118.384331
Santa Monica / San Vicente,"4, Cityline Local-East, Cityline Local-West, The PickUp",34.0847372,-118.3847123
Santa Monica/La Peer,The PickUp,34.083091,-118.386483
Pavillions,"4, Cityline Local-East, Cityline Local-West, The PickUp",34.08329,-118.386679
Santa Monica / La Peer,4,34.082757,-118.386959
Alameda St & Los Angeles St,"B, 4X, 40, 76, 106, R10",34.056684,-118.237269
Alameda / Arcadia,76,34.055023,-118.237611
Alameda / Cesar E Chavez 1,76,34.057814,-118.237018
Alameda / Cesar E Chavez 2,"40, 76, 106",34.057829,-118.23729
Arcadia and Los Angeles St W,"4X, 487/489, 707, Metro J Line 910/950",34.055186,-118.238906
Nth Main St,799,34.05742,-118.238521
Western / Wilshire,"18, 66, 207, 210, Hollywood/Wilshire, Wilshire Center/Koreatown Clockwise",34.062153,-118.30898
3rd / Western,16,34.069077,-118.308763
